Date,series,OPEN,HIGH,LOW,PREV.CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
21-May-2018,EQ,304.75,307.20,294.70,304.60,296.40,295.90,299.21,488.25,294.7,"1,15,49,490","3,45,56,95,179.10","1,39,373"
22-May-2018,EQ,296.55,312.50,296.55,295.90,308.00,307.70,304.99,488.25,294.7,"1,71,99,292","5,24,56,49,678.70","1,67,034"
23-May-2018,EQ,311.10,317.25,305.40,307.70,309.40,309.45,312.24,488.25,294.7,"1,76,98,475","5,52,61,28,618.40","1,50,970"
24-May-2018,EQ,300.00,307.65,284.10,309.45,289.85,288.65,291.35,488.25,284.1,"4,61,04,103","13,43,24,74,747.50","4,15,816"
25-May-2018,EQ,290.40,297.45,286.25,288.65,293.95,294.15,293.25,488.25,284.1,"1,92,40,172","5,64,20,88,163.10","1,84,209"
28-May-2018,EQ,293.75,299.90,290.30,294.15,295.95,296.30,296.61,487.00,284.1,"85,16,862","2,52,61,72,398.00","90,018"
29-May-2018,EQ,296.80,300.00,293.00,296.30,293.20,294.65,297.75,487.00,284.1,"98,16,561","2,92,28,52,438.55","1,15,806"
30-May-2018,EQ,289.95,292.25,286.15,294.65,288.95,288.90,289.91,487.00,284.1,"1,16,49,429","3,37,73,02,350.05","1,22,918"
31-May-2018,EQ,289.95,290.85,281.60,288.90,283.15,282.50,284.10,487.00,281.6,"2,87,71,987","8,17,40,41,459.10","1,77,873"
01-Jun-2018,EQ,284.50,290.35,283.05,282.50,287.50,287.20,287.77,487.00,281.6,"1,58,40,810","4,55,84,79,297.35","1,29,864"
04-Jun-2018,EQ,292.50,293.85,286.00,287.20,287.15,286.65,289.54,484.35,281.6,"1,08,35,487","3,13,72,65,391.75","1,36,883"
05-Jun-2018,EQ,286.65,288.25,283.60,286.65,285.50,284.95,285.35,484.35,281.6,"74,56,195","2,12,76,05,686.85","89,481"
06-Jun-2018,EQ,286.85,296.90,285.25,284.95,295.45,295.65,292.06,484.35,281.6,"1,97,54,001","5,76,93,25,691.65","1,55,901"
07-Jun-2018,EQ,296.30,306.90,295.25,295.65,304.75,305.40,301.28,484.35,281.6,"2,28,39,023","6,88,10,07,434.80","1,71,241"
08-Jun-2018,EQ,305.70,315.55,302.40,305.40,308.95,309.95,311.33,484.35,281.6,"2,72,49,374","8,48,36,16,458.10","1,95,602"
11-Jun-2018,EQ,310.90,313.90,306.65,309.95,309.35,309.75,310.90,470.75,281.6,"1,46,50,133","4,55,47,37,621.55","1,51,835"
12-Jun-2018,EQ,310.95,313.65,307.20,309.75,308.25,307.80,310.51,470.75,281.6,"79,32,388","2,46,31,06,957.30","74,689"
13-Jun-2018,EQ,309.20,311.25,307.00,307.80,308.85,308.40,309.31,470.75,281.6,"72,80,886","2,25,20,73,344.95","78,861"
